Date,High,Low,Open,Close,Volume
2021-04-30,29046.490234375,28760.26953125,28996.66015625,28812.630859375,78400000
2021-04-28,29139.69921875,28875.91015625,28935.509765625,29053.970703125,61400000
2021-04-27,29187.109375,28990.189453125,29174.529296875,28991.890625,59400000
2021-04-26,29241.279296875,28896.369140625,29095.490234375,29126.23046875,49200000
2021-04-23,29035.33984375,28770.619140625,28939.119140625,29020.630859375,47500000
2021-04-22,29192.390625,28800.859375,28880.779296875,29188.169921875,55100000
2021-04-21,28778.9296875,28419.83984375,28660.359375,28508.55078125,71000000
2021-04-20,29361.279296875,29014.359375,29355.869140625,29100.380859375,59900000
2021-04-19,29808.009765625,29530.83984375,29688.3203125,29685.369140625,44700000
2021-04-16,29789.080078125,29621.830078125,29789.080078125,29683.369140625,49100000
2021-04-15,29787.66015625,29558.55078125,29573.900390625,29642.689453125,50600000
2021-04-14,29722.400390625,29567.1796875,29718.060546875,29620.990234375,57200000
2021-04-13,29897.109375,29573.7890625,29605.689453125,29751.609375,54900000
2021-04-12,29876.0390625,29538.73046875,29874.4296875,29538.73046875,50200000
2021-04-09,30064.349609375,29768.060546875,29865.529296875,29768.060546875,64900000
2021-04-08,29744.7890625,29516.419921875,29675.880859375,29708.98046875,62600000
2021-04-07,29867.939453125,29523.55078125,29743.48046875,29730.7890625,61500000
2021-04-06,30208.890625,29665.859375,30208.890625,29696.630859375,65500000
2021-04-05,30195.0,30024.25,30084.609375,30089.25,55400000
2021-04-02,29869.669921875,29694.08984375,29704.66015625,29854.0,57200000
2021-04-01,29585.4609375,29318.8203125,29441.91015625,29388.869140625,75600000
2021-03-31,29348.990234375,29165.51953125,29278.330078125,29178.80078125,82000000
2021-03-30,29478.19921875,29283.890625,29365.0390625,29432.69921875,79900000
2021-03-29,29578.369140625,29200.880859375,29478.119140625,29384.51953125,107900000
2021-03-26,29240.740234375,28953.220703125,29068.51953125,29176.69921875,73700000
2021-03-25,28821.830078125,28414.919921875,28457.330078125,28729.880859375,72800000
2021-03-24,28867.669921875,28379.060546875,28765.55078125,28405.51953125,96000000
2021-03-23,29496.830078125,28995.919921875,29381.490234375,28995.919921875,79200000
2021-03-22,29472.98046875,29107.630859375,29444.099609375,29174.150390625,78800000
2021-03-19,30049.76953125,29621.220703125,29904.5703125,29792.05078125,128500000
2021-03-18,30485.0,30041.5,30148.48046875,30216.75,95400000
2021-03-17,29984.970703125,29825.16015625,29836.830078125,29914.330078125,74600000
2021-03-16,30026.400390625,29755.470703125,29770.390625,29921.08984375,83800000
2021-03-15,29884.73046875,29670.310546875,29804.5,29766.970703125,94100000
2021-03-12,29744.3203125,29210.400390625,29287.740234375,29717.830078125,96600000
2021-03-11,29255.419921875,28995.330078125,29033.919921875,29211.640625,78500000
2021-03-10,29233.470703125,28960.08984375,29118.279296875,29036.560546875,83000000
2021-03-09,29053.560546875,28609.2109375,28748.869140625,29027.939453125,96700000
2021-03-08,29255.900390625,28644.259765625,29208.189453125,28743.25,92400000
2021-03-05,28867.830078125,28308.5703125,28725.48046875,28864.3203125,85800000
2021-03-04,29277.189453125,28711.0390625,29198.419921875,28930.109375,75200000
2021-03-03,29604.369140625,29336.599609375,29482.119140625,29559.099609375,68800000
2021-03-02,29996.390625,29314.8203125,29939.75,29408.169921875,70100000
2021-03-01,29686.390625,29396.0390625,29419.44921875,29663.5,62700000
2021-02-26,29760.310546875,28966.009765625,29753.73046875,28966.009765625,92900000
2021-02-25,30213.279296875,30044.4296875,30077.26953125,30168.26953125,70100000
2021-02-24,30089.58984375,29671.69921875,30020.109375,29671.69921875,79300000
2021-02-22,30458.130859375,30089.1796875,30281.779296875,30156.029296875,62800000
2021-02-19,30169.58984375,29847.330078125,29970.58984375,30017.919921875,63700000
2021-02-18,30560.490234375,30140.009765625,30311.98046875,30236.08984375,77900000
2021-02-17,30398.19921875,30191.009765625,30366.8203125,30292.189453125,74800000
2021-02-16,30714.51953125,30191.650390625,30229.4609375,30467.75,81300000
2021-02-15,30092.33984375,29662.41015625,29662.41015625,30084.150390625,70300000
2021-02-12,29650.509765625,29417.3203125,29635.880859375,29520.0703125,79800000
2021-02-10,29562.9296875,29368.1796875,29412.55078125,29562.9296875,81100000
2021-02-09,29585.75,29350.48046875,29435.609375,29505.9296875,86900000
2021-02-08,29400.560546875,28817.599609375,28831.580078125,29388.5,93600000
2021-02-05,28785.7109375,28548.26953125,28631.4609375,28779.189453125,93200000
2021-02-04,28600.220703125,28325.890625,28557.4609375,28341.94921875,81100000
2021-02-03,28669.94921875,28402.30078125,28482.7109375,28646.5,84000000
2021-02-02,28379.310546875,28089.119140625,28207.48046875,28362.169921875,67500000
2021-02-01,28107.099609375,27649.0703125,27649.0703125,28091.05078125,65700000
2021-01-29,28320.720703125,27629.80078125,28320.720703125,27663.390625,91700000
2021-01-28,28360.48046875,27975.849609375,28169.26953125,28197.419921875,123900000
2021-01-27,28754.990234375,28542.0,28665.33984375,28635.2109375,69000000
2021-01-26,28740.7109375,28527.810546875,28696.30078125,28546.1796875,63500000
2021-01-25,28822.2890625,28566.849609375,28698.890625,28822.2890625,57300000
2021-01-22,28698.1796875,28527.16015625,28580.19921875,28631.44921875,66900000
2021-01-21,28846.150390625,28677.609375,28710.41015625,28756.859375,67700000
2021-01-20,28801.189453125,28402.109375,28798.740234375,28523.259765625,69800000
2021-01-19,28720.91015625,28373.33984375,28405.490234375,28633.4609375,58200000
2021-01-18,28349.970703125,28111.5390625,28238.6796875,28242.2109375,51900000
2021-01-15,28820.5,28477.029296875,28777.470703125,28519.1796875,74100000
2021-01-14,28979.529296875,28411.580078125,28442.73046875,28698.259765625,81900000
2021-01-13,28503.4296875,28133.58984375,28140.099609375,28456.58984375,70900000
2021-01-12,28287.369140625,27899.44921875,28004.369140625,28164.33984375,78800000
2021-01-08,28139.029296875,27667.75,27720.140625,28139.029296875,84900000
